repo_name,organization_name,repo_type,user_name,creation_date,stars,size,contributor_count,contributor_companies,contributor_companies_count,repo_url,repo_html_url,branch_count,commit_count,commit_comment_count,last_commit_date,labels_count,tag_count,milestone_count,pullrequest_count,pullrequest_review_count,release_count,workflow_count,readme_length,issues_count,issues_comment_count,has_wiki,has_pages,has_projects,has_downloads,watchers_count,is_fork,prog_language
github2pandas,Ifi-DiPiT-Project,Organization,TUBAF-IFI-DiPiT,2021-02-25 13:04:06,2,7409,3,[],0,https://api.github.com/repos/TUBAF-IFI-DiPiT/github2pandas,https://github.com/TUBAF-IFI-DiPiT/github2pandas,2,262,3,2021-11-18 17:03:36,9,14,0,33,15,14,1,6336,61,43,True,False,True,True,True,False,Python
github2pandas_manager,Ifi-DiPiT-Project,Organization,TUBAF-IFI-DiPiT,2021-08-22 14:47:37,0,166,4,[],0,https://api.github.com/repos/TUBAF-IFI-DiPiT/github2pandas_manager,https://github.com/TUBAF-IFI-DiPiT/github2pandas_manager,6,44,0,2021-11-20 16:32:23,9,0,0,5,0,0,0,5381,11,2,True,False,True,True,False,False,Python
github2pandas_notebooks,Ifi-DiPiT-Project,Organization,TUBAF-IFI-DiPiT,2021-07-04 06:05:12,0,66,2,[],0,https://api.github.com/repos/TUBAF-IFI-DiPiT/github2pandas_notebooks,https://github.com/TUBAF-IFI-DiPiT/github2pandas_notebooks,1,11,0,2021-10-11 10:04:45,9,0,0,1,0,0,0,4567,1,0,True,False,True,True,False,False,Jupyter Notebook
github2pandas_tutorials,Ifi-DiPiT-Project,Organization,TUBAF-IFI-DiPiT,2021-11-20 07:34:53,0,120,1,[],0,https://api.github.com/repos/TUBAF-IFI-DiPiT/github2pandas_tutorials,https://github.com/TUBAF-IFI-DiPiT/github2pandas_tutorials,1,3,0,2021-11-20 09:03:53,9,0,0,0,0,0,0,529,0,0,True,False,True,True,False,False,
